actorId,primaryName,validCount,averRating,averVote
nm0000138,Leonardo DiCaprio,27,7.377777777777778,391904.18518518517
nm0089217,Orlando Bloom,20,6.625,348601.4
nm0744834,Eli Roth,3,5.3999999999999995,343201.6666666667
nm0342488,Rupert Grint,13,7.061538461538461,284254.3846153846
nm0000093,Brad Pitt,42,6.942857142857145,280726.5714285714
nm0914612,Emma Watson,15,6.9799999999999995,277483.26666666666
nm0340260,Zach Grenier,6,6.066666666666666,273803.8333333333
nm0205063,Lucy Davis,3,6.466666666666666,270587.3333333333
nm0501435,Kasi Lemmons,4,6.725,269860.25
nm0000288,Christian Bale,35,7.0514285714285725,265155.0
nm2225369,Jennifer Lawrence,17,6.888235294117648,263240.23529411765
nm0705356,Daniel Radcliffe,17,7.082352941176471,243214.0588235294
nm1165110,Chris Hemsworth,13,6.723076923076923,237915.15384615384
nm0005212,Ian McKellen,34,7.170588235294118,235286.32352941178
nm0413168,Hugh Jackman,29,6.979310344827585,235244.10344827586
nm0000226,Will Smith,26,6.676923076923076,226786.57692307694
nm0177896,Bradley Cooper,23,6.413043478260869,226757.4347826087
nm2395586,Christopher Mintz-Plasse,7,6.785714285714286,225046.7142857143
nm0000158,Tom Hanks,48,6.912500000000001,222396.10416666666
nm0005132,Heath Ledger,15,6.933333333333334,219604.8
nm0001570,Edward Norton,25,7.180000000000002,214630.92
nm0000204,Natalie Portman,30,6.706666666666665,211718.73333333334
nm2052567,Jae Head,3,6.300000000000001,211051.66666666666
nm0695435,Chris Pratt,13,6.538461538461539,210840.07692307694
nm0000402,Carrie Fisher,16,6.362499999999999,210141.6875
nm0876138,Alan Tudyk,6,7.1000000000000005,209089.16666666666
nm1535523,Jaden Smith,4,6.15,208797.25
nm5397459,Daisy Ridley,5,7.06,208510.2
nm2955013,Liam Hemsworth,12,6.25,204833.08333333334
nm0005157,Jake Lloyd,3,6.533333333333334,203539.33333333334
nm3915784,John Boyega,6,6.949999999999999,202166.66666666666
nm0000120,Jim Carrey,27,6.603703703703703,202159.4814814815
nm0362766,Tom Hardy,22,6.677272727272726,202026.54545454544
nm1342727,Skandar Keynes,3,6.566666666666666,200993.66666666666
nm0262635,Chris Evans,25,6.66,200824.52
nm3237775,Mackenzie Foy,6,7.516666666666667,200202.83333333334
nm0000129,Tom Cruise,38,6.873684210526315,200201.42105263157
nm1179105,Alexandre Rodrigues,3,7.5,198425.66666666666
nm1129884,Leandro Firmino,3,6.900000000000001,198247.0
nm0424060,Scarlett Johansson,33,6.727272727272729,197363.66666666666
nm0001122,Ellen DeGeneres,5,6.0,197092.4
nm1706767,Jonah Hill,20,6.635,195104.15
nm1297015,Emma Stone,18,6.544444444444443,194334.44444444444
nm0110480,Peter Brocco,4,7.225,190880.75
nm0725543,Don Rickles,4,6.7,188730.25
nm0719637,Jeremy Renner,20,6.775,186221.2
nm0004874,Vin Diesel,22,6.636363636363634,185506.63636363635
nm0461136,Keira Knightley,23,6.8869565217391315,183800.69565217392
nm0001467,Jared Leto,11,6.854545454545454,183192.72727272726
nm0004266,Anne Hathaway,27,6.481481481481482,183057.66666666666
nm0001030,John Cazale,3,8.033333333333333,182254.33333333334
nm0670408,Simon Pegg,16,6.925000000000001,181796.625
nm0532235,Seth MacFarlane,5,6.56,181636.4
nm2353862,Dev Patel,7,6.857142857142857,179916.2857142857
nm0000354,Matt Damon,48,6.947916666666668,179456.25
nm0001855,Thomas F. Wilson,4,6.824999999999999,179109.5
nm4139037,Suraj Sharma,3,7.0,178970.0
nm0000136,Johnny Depp,48,6.866666666666666,177256.72916666666
nm0307531,Jeff Garlin,5,6.16,176869.8
nm0000148,Harrison Ford,43,6.9186046511627906,176774.7906976744
nm0350453,Jake Gyllenhaal,27,7.144444444444444,176747.11111111112
