actorId,connection,common_movies
nm0000329,"['nm0000216', 'nm0001401', 'nm0000329', 'nm0000163']","['Viy 2: Journey to China', 'Kung Fu Panda 2', 'None', 'Kung Fu Panda 2']"
nm0000115,"['nm0068338', 'nm0004851', 'nm0383603', 'nm0000293', 'nm1297015', 'nm0000168', 'nm0252961', 'nm0000210', 'nm0001401', 'nm0126284', 'nm1631269', 'nm0000237', 'nm0005377', 'nm0000125', 'nm0001467', 'nm0000234', 'nm0000115']","['Astro Boy', ""Captain Corelli's Mandolin"", 'Astro Boy', 'National Treasure', 'The Croods', 'Kiss of Death', 'Ghost Rider: Spirit of Vengeance', 'The Ant Bully', 'Gone in Sixty Seconds', 'Knowing', 'Kick-Ass', 'Face/Off', 'Matchstick Men', 'The Rock', 'Lord of War', 'Astro Boy', 'None']"
nm0000168,"['nm0000255', 'nm1089991', 'nm0000246', 'nm0000204', 'nm0000113', 'nm0424060', 'nm0000168', 'nm0000170', 'nm0000191', 'nm0000198', 'nm0000237', 'nm0000492', 'nm0000982', 'nm0001084', 'nm0262635', 'nm0004874', 'nm0000705', 'nm0000460', 'nm0000163', 'nm0564215', 'nm1200692', 'nm0000115']","['Changing Lanes', 'Kong: Skull Island', 'Die Hard with a Vengeance', 'Star Wars: Episode III - Revenge of the Sith', 'A Time to Kill', 'Captain America: The Winter Soldier', 'None', 'No Good Deed', 'Star Wars: Episode III - Revenge of the Sith', ""The Hitman's Bodyguard"", 'Basic', 'The Hateful Eight', 'Old Boy', 'xXx: State of the Union', 'Captain America: The Winter Soldier', 'xXx', 'Unbreakable', 'Die Hard with a Vengeance', 'Sphere', 'Glass', ""Miss Peregrine's Home for Peculiar Children"", 'Kiss of Death']"
nm0290556,"['nm0785227', 'nm0000204', 'nm0788335', 'nm0005458', 'nm0000170', 'nm0000213', 'nm0124930', 'nm0262635', 'nm0290556', 'nm1567113']","['Rise of the Planet of the Apes', 'Your Highness', 'The Broken Tower', 'Homefront', 'Future World', 'The Iceman', ""Na Nai'a: Legend of the Dolphins"", 'The Iceman', 'None', 'The Color of Time']"
nm0000553,"['nm0000204', 'nm0001337', 'nm0000553', 'nm0000113', 'nm0000178', 'nm0000210', 'nm0000191', 'nm0000161', 'nm0000354', 'nm0000112', 'nm0000142', 'nm0000949', 'nm0000234', 'nm1200692']","['Star Wars: Episode I - The Phantom Menace', 'The Nut Job', 'None', 'Gun Shy', 'Mark Felt: The Man Who Brought Down the White House', 'Michael Collins', 'Star Wars: Episode I - The Phantom Menace', 'The Prophet', 'Ponyo', 'Seraphim Falls', 'The Dead Pool', 'Ponyo', 'A Million Ways to Die in the West', 'Kingdom of Heaven']"
nm0000246,"['nm0000255', 'nm0000246', 'nm0000201', 'nm0000093', 'nm0004695', 'nm0935541', 'nm0000168', 'nm0000170', 'nm0000899', 'nm0000198', 'nm0000237', 'nm0001570', 'nm0000151', 'nm0147147', 'nm0000158', 'nm0000705', 'nm0000460', 'nm0000163', 'nm0000949', 'nm0564215']","['Armageddon', 'None', 'The Story of Us', 'Twelve Monkeys', 'Sin City', 'A Good Day to Die Hard', 'Die Hard with a Vengeance', 'The Fifth Element', 'Tears of the Sun', 'The Fifth Element', 'Pulp Fiction', 'Motherless Brooklyn', 'RED', 'The Cold Light of Day', 'The Bonfire of the Vanities', 'Unbreakable', 'Die Hard with a Vengeance', 'Billy Bathgate', 'Bandits', 'Glass']"
nm0000151,"['nm0000255', 'nm0000246', 'nm0000093', 'nm0424060', 'nm0001401', 'nm0000899', 'nm0000136', 'nm0000354', 'nm0124930', 'nm0000151', 'nm0000129', 'nm0000142', 'nm0000098', 'nm0000206', 'nm0000705', 'nm0000163', 'nm0564215']","['The Sum of All Fears', 'RED', 'Se7en', 'Lucy', 'Wanted', 'Under Suspicion', 'Transcendence', 'Invictus', 'Olympus Has Fallen', 'None', 'Oblivion', 'Million Dollar Baby', 'Bruce Almighty', 'Chain Reaction', 'Moll Flanders', 'Outbreak', 'Wanted']"
nm0000125,"['nm0000201', 'nm0000148', 'nm0000163', 'nm0000125', 'nm0000115']","['The Russia House', 'Indiana Jones and the Last Crusade', 'Family Business', 'None', 'The Rock']"
nm0000191,"['nm2539953', 'nm0000204', 'nm0000553', 'nm1055413', 'nm0424060', 'nm0000168', 'nm0266824', 'nm0413168', 'nm0000123', 'nm0000191', 'nm0000136', 'nm0000112', 'nm0000158', 'nm1200692']","['Son of a Gun', 'Star Wars: Episode II - Attack of the Clones', 'Star Wars: Episode I - The Phantom Menace', 'Haywire', 'The Island', 'Star Wars: Episode III - Revenge of the Sith', 'American Pastoral', 'Deception', 'The Men Who Stare at Goats', 'None', 'Mortdecai', 'The Ghost Writer', 'Angels & Demons', 'Perfect Sense']"
nm0000206,"['nm0000375', 'nm0000113', 'nm0705356', 'nm0000178', 'nm0000199', 'nm0000198', 'nm0000213', 'nm0000151', 'nm0262635', 'nm0000206', 'nm0000949', 'nm0000234']","['A Scanner Darkly', 'Speed', 'The Modern Ocean', 'Hardball', ""The Devil's Advocate"", ""Bram Stoker's Dracula"", 'A Scanner Darkly', 'Chain Reaction', 'Street Kings', 'None', 'The Gift', 'Sweet November']"
