actorId,common_movies,connection,primaryName,averRating,p_index,gender,popularity
nm0000093,"['The Mexican', 'Twelve Monkeys', 'Sinbad: Legend of the Seven Seas', 'None', '12 Years a Slave', 'Snatch', ""Ocean's Twelve"", 'Mr. & Mrs. Smith', ""Ocean's Twelve"", 'Fight Club', ""Ocean's Eleven"", 'Se7en', ""The Devil's Own"", 'Interview with the Vampire: The Vampire Chronicles', 'Moneyball', 'Babel', 'The Tree of Life']","['J.K. Simmons', 'Bruce Willis', 'Michelle Pfeiffer', 'Brad Pitt', 'Michael Fassbender', 'Jason Statham', 'Julia Roberts', 'Angelina Jolie', 'George Clooney', 'Edward Norton', 'Matt Damon', 'Morgan Freeman', 'Harrison Ford', 'Tom Cruise', 'Robin Wright', 'Cate Blanchett', 'Jessica Chastain']",Brad Pitt,6.480000000000002,46,2,13.046934
nm0000158,"['The Ladykillers', 'The Bonfire of the Vanities', 'Catch Me If You Can', 'Extremely Loud & Incredibly Close', ""Charlie Wilson's War"", 'Angels & Demons', 'The Circle', 'Saving Private Ryan', 'None', 'Forrest Gump', 'That Thing You Do!']","['J.K. Simmons', 'Bruce Willis', 'Leonardo DiCaprio', 'Sandra Bullock', 'Julia Roberts', 'Ewan McGregor', 'Emma Watson', 'Matt Damon', 'Tom Hanks', 'Robin Wright', 'Charlize Theron']",Tom Hanks,6.144444444444448,36,2,10.635981
nm0000148,"['What Lies Beneath', ""The Devil's Own"", 'Morning Glory', 'Patriot Games', 'Cowboys & Aliens', 'Paranoia', 'None', 'Indiana Jones and the Last Crusade', 'Indiana Jones and the Kingdom of the Crystal Skull']","['Michelle Pfeiffer', 'Brad Pitt', 'Rachel McAdams', 'Sean Bean', 'Daniel Craig', 'Gary Oldman', 'Harrison Ford', 'Sean Connery', 'Cate Blanchett']",Harrison Ford,6.761363636363638,34,2,14.419894
nm0000354,"['Jason Bourne', 'The Rainmaker', 'Dogma', 'All the Pretty Horses', ""Ocean's Eleven"", 'Ponyo', 'The Departed', 'We Bought a Zoo', ""Ocean's Eleven"", 'The Good Shepherd', 'The Brothers Grimm', 'The Monuments Men', 'Rounders', 'Margaret', 'None', 'True Grit', 'The Legend of Bagger Vance', 'Invictus', 'The Departed', 'Saving Private Ryan', 'Ponyo', 'The Legend of Bagger Vance', 'The Martian']","['Alicia Vikander', 'Claire Danes', 'Ben Affleck', 'Penélope Cruz', 'Brad Pitt', 'Liam Neeson', 'Leonardo DiCaprio', 'Scarlett Johansson', 'Julia Roberts', 'Angelina Jolie', 'Monica Bellucci', 'George Clooney', 'Edward Norton', 'Mark Ruffalo', 'Matt Damon', 'Josh Brolin', 'Will Smith', 'Morgan Freeman', 'Mark Wahlberg', 'Tom Hanks', 'Cate Blanchett', 'Charlize Theron', 'Jessica Chastain']",Matt Damon,6.413461538461537,33,2,11.599721
nm0000151,"['The Sum of All Fears', 'RED', 'Se7en', 'Lucy', 'Wanted', 'Under Suspicion', 'Transcendence', 'Invictus', 'Angel Has Fallen', 'None', 'Oblivion', 'Million Dollar Baby', 'Bruce Almighty', 'Chain Reaction', 'Moll Flanders', 'Outbreak', 'Wanted']","['Ben Affleck', 'Bruce Willis', 'Brad Pitt', 'Scarlett Johansson', 'Angelina Jolie', 'Monica Bellucci', 'Johnny Depp', 'Matt Damon', 'Gerard Butler', 'Morgan Freeman', 'Tom Cruise', 'Clint Eastwood', 'Jennifer Aniston', 'Keanu Reeves', 'Robin Wright', 'Dustin Hoffman', 'James McAvoy']",Morgan Freeman,6.208823529411763,31,2,14.354621
nm0000129,"['Vanilla Sky', 'Interview with the Vampire: The Vampire Chronicles', 'War of the Worlds', 'Collateral', 'Oblivion', 'None', 'Rain Man']","['Penélope Cruz', 'Brad Pitt', 'Dakota Fanning', 'Mark Ruffalo', 'Morgan Freeman', 'Tom Cruise', 'Dustin Hoffman']",Tom Cruise,6.370731707317072,29,2,12.017384
nm0000138,"['Romeo + Juliet', ""What's Eating Gilbert Grape"", 'Shutter Island', 'The Man in the Iron Mask', 'The Departed', 'The Aviator', 'The Departed', 'Catch Me If You Can', 'None', 'The Revenant']","['Claire Danes', 'Johnny Depp', 'Mark Ruffalo', 'Jeremy Irons', 'Matt Damon', 'Cate Blanchett', 'Mark Wahlberg', 'Tom Hanks', 'Leonardo DiCaprio', 'Tom Hardy']",Leonardo DiCaprio,5.691428571428572,26,2,12.713358
nm0001570,"['None', 'Rounders', 'Motherless Brooklyn', 'The Italian Job', 'Collateral Beauty', 'Fight Club', 'Stone', 'Everyone Says I Love You', 'The Italian Job']","['Edward Norton', 'Matt Damon', 'Bruce Willis', 'Charlize Theron', 'Will Smith', 'Brad Pitt', 'Milla Jovovich', 'Julia Roberts', 'Mark Wahlberg']",Edward Norton,6.903846153846158,25,2,10.252544
nm0000246,"['Armageddon', 'None', 'The Story of Us', 'Twelve Monkeys', 'Sin City', 'A Good Day to Die Hard', 'Glass', 'The Fifth Element', 'Tears of the Sun', 'The Fifth Element', 'Pulp Fiction', 'Motherless Brooklyn', 'RED', 'The Cold Light of Day', 'The Bonfire of the Vanities', 'Unbreakable', 'Die Hard with a Vengeance', 'Billy Bathgate', 'Bandits', 'Glass']","['Ben Affleck', 'Bruce Willis', 'Michelle Pfeiffer', 'Brad Pitt', 'Jessica Alba', 'Mary Elizabeth Winstead', 'Samuel L. Jackson', 'Milla Jovovich', 'Monica Bellucci', 'Gary Oldman', 'John Travolta', 'Edward Norton', 'Morgan Freeman', 'Henry Cavill', 'Tom Hanks', 'Robin Wright', 'Jeremy Irons', 'Dustin Hoffman', 'Cate Blanchett', 'James McAvoy']",Bruce Willis,5.499999999999999,25,2,10.646661
nm0000136,"['Pirates of the Caribbean: On Stranger Tides', 'Dark Shadows', 'Charlie and the Chocolate Factory', ""What's Eating Gilbert Grape"", 'The Tourist', 'Donnie Brasco', 'Mortdecai', 'Once Upon a Time in Mexico', 'None', 'Edward Scissorhands', 'Transcendence', 'Black Mass', ""The Astronaut's Wife"", 'Sherlock Gnomes', 'Dark Shadows']","['Penélope Cruz', 'Michelle Pfeiffer', 'Freddie Highmore', 'Leonardo DiCaprio', 'Angelina Jolie', 'Al Pacino', 'Ewan McGregor', 'Salma Hayek', 'Johnny Depp', 'Winona Ryder', 'Morgan Freeman', 'Benedict Cumberbatch', 'Charlize Theron', 'James McAvoy', 'Eva Green']",Johnny Depp,5.885714285714285,25,2,18.74143
