actorId,connection,primaryName,averRating,p_index,gender,popularity
nm0000329,"['Arnold Schwarzenegger', 'Angelina Jolie', 'Jackie Chan', 'Dustin Hoffman']",Jackie Chan,5.7700000000000005,6,2,20.511360999999997
nm0000115,"['Kristen Bell', 'Penélope Cruz', 'Freddie Highmore', 'Sean Bean', 'Emma Stone', 'Samuel L. Jackson', 'Idris Elba', 'Julia Roberts', 'Angelina Jolie', 'Rose Byrne', 'Chloë Grace Moretz', 'John Travolta', 'Sam Rockwell', 'Sean Connery', 'Jared Leto', 'Charlize Theron', 'Nicolas Cage']",Nicolas Cage,5.589024390243901,16,2,13.367778
nm0000168,"['Ben Affleck', 'Tom Hiddleston', 'Bruce Willis', 'Natalie Portman', 'Sandra Bullock', 'Scarlett Johansson', 'Samuel L. Jackson', 'Milla Jovovich', 'Ewan McGregor', 'Gary Oldman', 'John Travolta', 'Jennifer Jason Leigh', 'Josh Brolin', 'Ice Cube', 'Chris Evans', 'Vin Diesel', 'Robin Wright', 'Jeremy Irons', 'Dustin Hoffman', 'James McAvoy', 'Eva Green', 'Nicolas Cage']",Samuel L. Jackson,5.570370370370371,23,2,12.762979
nm0290556,"['Andy Serkis', 'Natalie Portman', 'Michael Shannon', 'Jason Statham', 'Milla Jovovich', 'Winona Ryder', 'Gerard Butler', 'Chris Evans', 'James Franco', 'Jessica Chastain']",James Franco,5.064102564102567,8,2,18.344994
nm0000553,"['Natalie Portman', 'Katherine Heigl', 'Liam Neeson', 'Sandra Bullock', 'Diane Lane', 'Julia Roberts', 'Ewan McGregor', 'Salma Hayek', 'Matt Damon', 'Pierce Brosnan', 'Clint Eastwood', 'Cate Blanchett', 'Charlize Theron', 'Eva Green']",Liam Neeson,5.609210526315789,19,2,10.069336999999999
nm0000246,"['Ben Affleck', 'Bruce Willis', 'Michelle Pfeiffer', 'Brad Pitt', 'Jessica Alba', 'Mary Elizabeth Winstead', 'Samuel L. Jackson', 'Milla Jovovich', 'Monica Bellucci', 'Gary Oldman', 'John Travolta', 'Edward Norton', 'Morgan Freeman', 'Henry Cavill', 'Tom Hanks', 'Robin Wright', 'Jeremy Irons', 'Dustin Hoffman', 'Cate Blanchett', 'James McAvoy']",Bruce Willis,5.499999999999999,25,2,10.646661
nm0000151,"['Ben Affleck', 'Bruce Willis', 'Brad Pitt', 'Scarlett Johansson', 'Angelina Jolie', 'Monica Bellucci', 'Johnny Depp', 'Matt Damon', 'Gerard Butler', 'Morgan Freeman', 'Tom Cruise', 'Clint Eastwood', 'Jennifer Aniston', 'Keanu Reeves', 'Robin Wright', 'Dustin Hoffman', 'James McAvoy']",Morgan Freeman,6.208823529411763,31,2,14.354621
nm0000125,"['Michelle Pfeiffer', 'Harrison Ford', 'Dustin Hoffman', 'Sean Connery', 'Nicolas Cage']",Sean Connery,6.555932203389831,14,2,10.469287
nm0000191,"['Alicia Vikander', 'Natalie Portman', 'Liam Neeson', 'Michael Fassbender', 'Scarlett Johansson', 'Samuel L. Jackson', 'Dakota Fanning', 'Hugh Jackman', 'George Clooney', 'Ewan McGregor', 'Johnny Depp', 'Pierce Brosnan', 'Tom Hanks', 'Eva Green']",Ewan McGregor,6.220689655172415,19,2,9.119133999999999
nm0000206,"['Robert Downey Jr.', 'Sandra Bullock', 'Daniel Radcliffe', 'Diane Lane', 'Al Pacino', 'Gary Oldman', 'Winona Ryder', 'Morgan Freeman', 'Chris Evans', 'Keanu Reeves', 'Cate Blanchett', 'Charlize Theron']",Keanu Reeves,5.4696428571428575,14,2,11.468442
nm0000136,"['Penélope Cruz', 'Michelle Pfeiffer', 'Freddie Highmore', 'Leonardo DiCaprio', 'Angelina Jolie', 'Al Pacino', 'Ewan McGregor', 'Salma Hayek', 'Johnny Depp', 'Winona Ryder', 'Morgan Freeman', 'Benedict Cumberbatch', 'Charlize Theron', 'James McAvoy', 'Eva Green']",Johnny Depp,5.885714285714285,25,2,18.741429999999998
nm0000460,"['Alicia Vikander', 'J.K. Simmons', 'Ben Affleck', 'Tom Hiddleston', 'Bruce Willis', 'Michael Fassbender', 'Leonardo DiCaprio', 'Samuel L. Jackson', 'Al Pacino', 'Winona Ryder', 'Jeremy Irons']",Jeremy Irons,6.2629629629629635,7,2,10.06197
nm0000237,"['Bruce Willis', 'Michelle Pfeiffer', 'Scarlett Johansson', 'Samuel L. Jackson', 'Hugh Jackman', 'Dwayne Johnson', 'Salma Hayek', 'John Travolta', 'Robin Wright', 'Dustin Hoffman', 'Jared Leto', 'Nicolas Cage']",John Travolta,5.549999999999999,12,2,8.809541000000001
nm0000158,"['J.K. Simmons', 'Bruce Willis', 'Leonardo DiCaprio', 'Sandra Bullock', 'Julia Roberts', 'Ewan McGregor', 'Emma Watson', 'Matt Damon', 'Tom Hanks', 'Robin Wright', 'Charlize Theron']",Tom Hanks,6.1444444444444475,36,2,10.635981
nm0000230,"['Arnold Schwarzenegger', 'Sandra Bullock', 'Jason Statham', 'Sylvester Stallone']",Sylvester Stallone,5.3574074074074085,11,2,12.190794
nm0000354,"['Alicia Vikander', 'Claire Danes', 'Ben Affleck', 'Penélope Cruz', 'Brad Pitt', 'Liam Neeson', 'Leonardo DiCaprio', 'Scarlett Johansson', 'Julia Roberts', 'Angelina Jolie', 'Monica Bellucci', 'George Clooney', 'Edward Norton', 'Mark Ruffalo', 'Matt Damon', 'Josh Brolin', 'Will Smith', 'Morgan Freeman', 'Mark Wahlberg', 'Tom Hanks', 'Cate Blanchett', 'Charlize Theron', 'Jessica Chastain']",Matt Damon,6.413461538461537,33,2,11.599721
nm0000112,"['Jessica Alba', 'Liam Neeson', 'Sean Bean', 'Milla Jovovich', 'Ewan McGregor', 'Salma Hayek', 'Gerard Butler', 'Pierce Brosnan']",Pierce Brosnan,5.392307692307693,5,2,10.535896000000001
nm0000142,"['Liam Neeson', 'Morgan Freeman', 'Clint Eastwood']",Clint Eastwood,6.8230769230769255,17,2,8.399286
nm0004851,"['Adam Sandler', 'Penélope Cruz', 'Robert Downey Jr.', 'Michael Fassbender', 'Salma Hayek', 'Johnny Depp', 'Matt Damon', 'Mark Wahlberg', 'Tom Cruise', 'Charlize Theron', 'Nicolas Cage']",Penélope Cruz,5.6560000000000015,5,1,9.761514
